"N° ";"Désignation";"Durée";"Coût Prév. >0 ";"Coût Prév. <0";"Coût Réel";
"182";"AMENEE D'AIR DESENFUMAGE BAT 3 R+1";"1";"";"";"";
"183";"ASSERVISSEMENT CHASSIS BAT 3 R+3";"1";"";"";"";
"184";"AMENEE D'AIR DESENFUMAGE BAT 3 R+3";"1";"";"";"";
"185";"AMENEE D'AIR DESENFUMAGE BAT 3 R+2";"1";"";"";"";
"186";"ASSERVISSEMENT CHASSIS BAT 3 R+2";"1";"";"";"";
"187";"ASSERVISSEMENT CHASSIS BAT 3 R+1";"1";"";"";"";
"188";"ASSERVISSEMENT CHASSIS BAT 1 R+3";"1";"";"";"";
"189";"ASSERVISSEMENT CHASSIS BAT 1 R+1";"1";"";"";"";
"190";"HABILLAGE APPUIS DE BAIES BAT 2 OUEST";"1";"";"";"";
"191";"HABILLAGE APPUIS DE BAIES BAT 2 EST";"1";"";"";"";
"192";"PORTE AUTOMATIQUE BAT 3 SUD";"1";"";"";"";
"193";"PORTE AUTOMATIQUE INTERIEUR BAT 3";"1";"";"";"";
"194";"BLOC PORTE BAT 1 RDC";"10";"";"";"";
"195";"IDEOGRAMME SIGNALETIQUE BAT 1 RDC";"3";"";"";"";
"196";"DIVERS ACCESSOIRES BAT 1 RDC";"1";"";"";"";
"197";"CLOISONS MODULAIRES BAT 1 RDC";"5";"";"";"";
"198";"PORTE DAS BAT 1 RDC";"2";"";"";"";
"199";"AMENAGEMENT PLACARDS BAT 1 RDC";"2";"";"";"";
"200";"PARQUETS ET PLINTHES BAT 1 RDC";"4";"";"";"";
"201";"CLOISONS MOBILES BAT 1 RDC";"5";"";"";"";
"202";"STORES VENITIENS BAT 1 RDC";"15";"";"";"";
"203";"PLINTHES BAT 1 RDC";"2";"";"";"";
"204";"BLOC PORTE BAT 1 R+1";"10";"";"";"";
"205";"IDEOGRAMME SIGNALETIQUE BAT 1 R+1";"1";"";"";"";
"206";"DIVERS ACCESSOIRES BAT 1 R+1";"2";"";"";"";
"207";"CLOISONS BOIS EXOTIQUE BAT 1 R+1";"5";"";"";"";
"208";"PORTE DAS BAT 1 R+1";"2";"";"";"";
"209";"BANQUE D'ACCUEIL BAT 1 R+1";"5";"";"";"";
"210";"PLINTHES BAT 1 R+1";"15";"";"";"";
"213";"AMENAGEMENT PLACARDS BAT 1 RDC";"2";"";"";"";
"214";"AMENAGEMENT PLACARDS BAT 1 R+2";"15";"";"";"";
"215";"BLOC PORTE BAT 1 R+2";"2";"";"";"";
"216";"IDEOGRAMME SIGNALETIQUE BAT 1 R+2";"1";"";"";"";
"217";"DIVERS ACCESSOIRES BAT 1 R+2";"3";"";"";"";
"218";"CLOISONS ALU BAT 1 R+2";"30";"";"";"";
"219";"PORTE DAS BAT 1 R+2";"3";"";"";"";
"220";"PLINTHES BAT 1 R+2";"15";"";"";"";
"221";"STORES VENITIENS BAT 1 R+3";"20";"";"";"";
"222";"AMENAGEMENT PLACARDS BAT 1 R+2";"15";"";"";"";
"224";"BLOC PORTE BAT 1 R+3";"5";"";"";"";
"225";"IDEOGRAMME SIGNALETIQUE BAT 1 R+3";"1";"";"";"";
"226";"DIVERS ACCESSOIRES BAT 1 R+3";"3";"";"";"";
"227";"CLOISONS BOIS EXOTIQUE BAT 1 R+3";"5";"";"";"";
"229";"BLOC PORTE BAT 1 RDC";"10";"";"";"";
"230";"CLOISONS MODULAIRES BAT 1 RDC";"5";"";"";"";
"231";"BLOC PORTE BAT 2 RDC";"2";"";"";"";
"232";"CLOISONS MODULAIRES BAT 2 RDC";"10";"";"";"";
"233";"PORTE DAS BAT 2 RDC";"4";"";"";"";
"234";"BLOC PORTE BAT 2 RDC";"2";"";"";"";
"235";"CLOISONS MODULAIRES BAT 2 RDC";"10";"";"";"";
"236";"BLOC PORTE BAT 2 R+1";"2";"";"";"";
"237";"CLOISONS MODULAIRES BAT 2 R+1";"10";"";"";"";
"238";"PORTE DAS BAT 2 R+1";"4";"";"";"";
"239";"Tache numéro 239";"1";"";"";"";
"240";"BLOC PORTE BAT 2 R+1";"2";"";"";"";
"241";"CLOISONS MODULAIRES BAT 2 R+1";"10";"";"";"";
"242";"BLOC PORTE BAT 2 R+2";"1";"";"";"";
"244";"PORTE DAS BAT 2 R+2";"1";"";"";"";
"246";"BLOC PORTE BAT 2 R+2";"1";"";"";"";
