"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"75";"FONDATIONS ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"76";"REMBLAIS";"5";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"77";"LONGRINES ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"78";"FOSSE ASCENSEUR ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"79";"FUT ANCRAGE CHARPENTE ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"80";"DALLE PORTEE";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"81";"VOILES BA ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"82";"POTEAUX BA ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"83";"POUTRE BA ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"84";"PLANCHER BA ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"85";"ACROTERES BA ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"86";"INSTALLATION DE CHANTIER";"15";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"87";"ETUDE D'EXECUTION";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"88";"DEMOLITION PARTIELLE BAT 3";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"89";"SAIGNEES DANS DALLAGE EXISTANT ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"90";"DEMOLITION DU BRISE SOLEIL ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"91";"REPRISE D'UNE POUTRE BETON";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"92";"DECOUPAGE DU PALIER ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"93";"CARROTAGE, PERCEMENT ET REMPLISSAGE";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"94";"CREATION ET ADAPTATION OUVERTURE BAT 1 ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"95";"CREATION ET ADAPTATION D'OUVERTURE BAT 2";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"96";"ISOLEMENT DE LA ZONE DE CHANTIER";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"97";"DEMOLITION DES ALLEGES BAT 3";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"98";"DEMOLITION DES ALLEGES BAT 1 RDC";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"99";"BECHES";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"100";"RESEAUX SOUS DALLAGES";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"101";"REGARDS";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"102";"ISOLATION FIBRASTYRENE ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"103";"PARPAINGS LINTEAUX CHAINAGES";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"104";"ACROTERES BA";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"105";"JOINTS DE DILATATION";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"106";"COUVRE JOINTS";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"107";"DRESSAGE";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"108";"ENCADREMENT DE BAIES";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"109";"RAGREAGE";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"110";"REPRISE EN SOUS OEUVRE";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"111";"SEUILS ET APPUIS";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"112";"SOCLES TOTEM ET PANNEAUX";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"113";"ABRI A VELO ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"114";"SOCLES ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"115";"RACCORDS ET FINITIONS ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"116";"ENDUITS INTERIEURS";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"117";"EDICULES";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"118";"REPRISE DES ETANCHEITES BAT 2";"12";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"119";"REPRISE DES ETANCHEITES BAT 3 ";"15";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"120";"ETANCHEITE CASQUETTE BA BAT 1";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"121";"ETANCHEITE CASQUETTE BA BAT 2";"5";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"122";"ETANCHEITE DES TERRASSES BAT 2 R+3";"5";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"123";"ETANCHEITE DES TERRASSES BAT 2 R+2";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"124";"ETANCHEITE DES TERRASSES BAT 2 R+1";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"125";"ETANCHEITE DES TERRASSES BAT 2 RDC";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"126";"ETANCHEITE BAT 3 & ACCUEIL R+3";"10";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"127";"ETANCHEITE BAT 3 & ACCUEIL RDC";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"128";"REPRISE DES ETANCHEITES AU DROIT DES OUVRAGES CREES BAT 3";"3";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"130";"REMPLACEMENT DESCENTE EP BAT 2";"2";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"131";"DESCENTE EP BAT 3 ET ACCUEIL ";"2";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"132";"COUVERTINE BAT 1 ";"4";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"133";"COUVERTINE IMPRIMERIE";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"134";"COUVERTINE BAT 2";"3";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"135";"COUVERTINE BAT 3 ET ACCUEIL";"3";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"136";"ECHAFAUDAGE OUEST BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"137";"ECHAFAUDAGE EST BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"138";"ECHAFAUDAGE OUEST BAT 2";"5";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"139";"ECHAFAUDAGE NORD BAT 2";"6";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"140";"ECHAFAUDAGE EST BAT 2";"5";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"141";"ECHAFAUDAGE SUD BAT 3";"6";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"142";"ECHAFAUDAGE NORD BAT ACCUEIL ";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"143";"ECHAFAUDAGE EST BAT 3";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"144";"ECHAFAUDAGE SUD BAT 2";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"145";"DEMOLITION VETURE SUD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"146";"DEMOLITION VETURE OUEST BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
