"N° ","Désignation","Durée","Prédécesseurs","Successeurs","Critère 1","Critère 2","Critère 3",
"131","DESCENTE EP BAT 3 ET ACCUEIL ","2","119FD0 - ","","","","C3-05---",
"132","COUVERTINE BAT 1 ","4","","","","","C3-05---",
"133","COUVERTINE IMPRIMERIE","1","","","","","C3-05---",
"134","COUVERTINE BAT 2","3","118FD0 - ","","","","C3-05---",
"135","COUVERTINE BAT 3 ET ACCUEIL","3","126FD0 - ","","","","C3-05---",
"136","ECHAFAUDAGE OUEST BAT 1","1","","","","","C3-07---",
"137","ECHAFAUDAGE EST BAT 1","1","","","","","C3-07---",
"138","ECHAFAUDAGE OUEST BAT 2","5","141FD0 - ","","","","C3-07---",
"139","ECHAFAUDAGE NORD BAT 2","6","","140FD0 - ","","","C3-07---",
"140","ECHAFAUDAGE EST BAT 2","5","139FD0 - ","141FD0 - ","","","C3-07---",
"141","ECHAFAUDAGE SUD BAT 3","6","140FD0 - ","138FD0 - ","","","C3-07---",
"142","ECHAFAUDAGE NORD BAT ACCUEIL ","1","","","","","C3-07---",
"143","ECHAFAUDAGE EST BAT 3","1","","","","","C3-07---",
"144","ECHAFAUDAGE SUD BAT 2","1","","","","","C3-07---",
"145","DEMOLITION VETURE SUD BAT 1","1","","","","","C3-07---",
"146","DEMOLITION VETURE OUEST BAT 1","1","","","","","C3-07---",
"147","DEMOLITION DE VETURE NORD BAT 1","1","","","","","C3-07---",
"148","BARDAGE ALU SUD BAT 1","1","","","","","C3-07---",
"149","BARDAGE ALU NORD BAT1","1","","","","","C3-07---",
"150","BARDAGE ALU SUD BAT 2 ","1","","","","","C3-07---",
"151","BARDAGE ALU OUEST BAT 2","1","","176DD3 - ","","","C3-07---",
"152","BARDAGE ALU NORD BAT 2","1","","","","","C3-07---",
"153","BARDAGE ALU EST BAT 2","1","","","","","C3-07---",
"154","BARDAGE ALU NORD EST BAT ACCUEIL ET RETOURS LATERAUX","1","","","","","C3-07---",
"155","BARDAGE PANNEAU SUD IMPRIMERIE","1","","","","","C3-07---",
"156","BARDAGE PANNEAU NORD IMPRIMERIE","1","","","","","C3-07---",
"157","BARDAGE PANNEAU SUD BAT 2","1","","","","","C3-07---",
"158","BARDAGE PANNEAU EST BAT 2","1","","","","","C3-07---",
"159","BARDAGE PANNEAU EST BAT 3","1","","","","","C3-07---",
"160","BARDAGE PANNEAU OUEST BAT 3","1","","","","","C3-07---",
"161","BARDAGE PANNEAU NORD BAT 3","1","","","","","C3-07---",
"162","BARDAGE PANNEAU EST BAT ACCUEIL","1","","","","","C3-07---",
"163","OUVRAGE SECURITE A DEMEURE BAT 1","1","","","","","C3-07---",
"164","OUVRAGE SECURITE A DEMEURE BAT 2","1","","","","","C3-07---",
"165","OUVRAGE SECURITE A DEMEURE BAT 3","1","","","","","C3-07---",
"166","MENUISERIE EXTER BAT 1 R+3","1","","168FD0 - ","","","C3-08---",
"167","MENUISERIE EXTER BAT 1 R+2","1","","169FD0 - ","","","C3-08---",
"168","MENUISERIE EXTER BAT 1 R+1","1","166FD0 - ","","","","C3-08---",
"169","MENUISERIE EXTER BAT 1 RDC","1","167FD0 - ","","","","C3-08---",
"170","MENUISERIE EXTER BAT 2 R+3","15","309FD0 - ","172FD0 - 174FD0 - 303FD0 - 171FD0 - ","","","C3-08---",
"171","MENUISERIE EXTER BAT 2 R+2","15","310FD0 - 170FD0 - ","173FD0 - 175FD0 - 294FD0 - ","","","C3-08---",
"172","MENUISERIE EXTER BAT 2 R+1","1","168FD0 - 170FD0 - 311FD0 - ","176FD0 - ","","","C3-08---",
"173","MENUISERIE EXTER BAT 2 RDC","1","169FD0 - 171FD0 - 312FD0 - ","177FD0 - ","","","C3-08---",
"174","MENUISERIE EXTER BAT 3 R+3","1","170FD0 - ","176FD0 - 178FD0 - ","","","C3-08---",
"175","MENUISERIE EXTER BAT 3 R+2","1","171FD0 - ","177FD0 - 179FD0 - ","","","C3-08---",
"176","MENUISERIE EXTER BAT 3 R+1","1","172FD0 - 174FD0 - 151DD3 - ","180FD0 - ","","","C3-08---",
"177","MENUISERIE EXTER BAT 3 RDC","1","173FD0 - 175FD0 - ","181FD0 - ","","","C3-08---",
"178","MENUISERIE EXTER BAT ACCUEIL R+3","1","174FD0 - ","180FD0 - ","","","C3-08---",
"179","MENUISERIE EXTER BAT ACCUEIL R+2","1","175FD0 - ","181FD0 - ","","","C3-08---",
"180","MENUISERIE EXTER BAT ACCUEIL R+1","1","176FD0 - 178FD0 - ","","","","C3-08---",
"181","MENUISERIE EXTER BAT ACCUEIL RDC","1","177FD0 - 179FD0 - ","","","","C3-08---",
"182","AMENEE D'AIR DESENFUMAGE BAT 3 R+1","1","","184FD0 - ","","","C3-08---",
"183","ASSERVISSEMENT CHASSIS BAT 3 R+3","1","","186FD0 - ","","","C3-08---",
"184","AMENEE D'AIR DESENFUMAGE BAT 3 R+3","1","182FD0 - ","","","","C3-08---",
"185","AMENEE D'AIR DESENFUMAGE BAT 3 R+2","1","184FD0 - ","","","","C3-08---",
"186","ASSERVISSEMENT CHASSIS BAT 3 R+2","1","183FD0 - ","","","","C3-08---",
"187","ASSERVISSEMENT CHASSIS BAT 3 R+1","1","186FD0 - ","","","","C3-08---",
"188","ASSERVISSEMENT CHASSIS BAT 1 R+3","1","","189FD0 - ","","","C3-08---",
"189","ASSERVISSEMENT CHASSIS BAT 1 R+1","1","188FD0 - ","","","","C3-08---",
"190","HABILLAGE APPUIS DE BAIES BAT 2 OUEST","1","","","","","C3-08---",
"191","HABILLAGE APPUIS DE BAIES BAT 2 EST","1","","","","","C3-08---",
"192","PORTE AUTOMATIQUE BAT 3 SUD","1","","193FD0 - ","","","C3-09---",
"193","PORTE AUTOMATIQUE INTERIEUR BAT 3","1","192FD0 - ","","","","C3-09---",
"194","BLOC PORTE BAT 1 RDC","10","","","","","C3-10---",
"195","IDEOGRAMME SIGNALETIQUE BAT 1 RDC","3","","","","","C3-10---",
"196","DIVERS ACCESSOIRES BAT 1 RDC","1","","","","","C3-10---",
"197","CLOISONS MODULAIRES BAT 1 RDC","5","","","","","C3-10---",
"198","PORTE DAS BAT 1 RDC","2","","","","","C3-10---",
"199","AMENAGEMENT PLACARDS BAT 1 RDC","2","","","","","C3-10---",
"200","PARQUETS ET PLINTHES BAT 1 RDC","4","","","","","C3-10---",
"201","CLOISONS MOBILES BAT 1 RDC","5","","","","","C3-10---",
"202","STORES VENITIENS BAT 1 RDC","15","","","","","C3-10---",
"203","PLINTHES BAT 1 RDC","2","","","","","C3-10---",
"204","BLOC PORTE BAT 1 R+1","10","","","","","C3-10---",
"205","IDEOGRAMME SIGNALETIQUE BAT 1 R+1","1","","","","","C3-10---",
"206","DIVERS ACCESSOIRES BAT 1 R+1","2","","","","","C3-10---",
"207","CLOISONS BOIS EXOTIQUE BAT 1 R+1","5","","","","","C3-10---",
"208","PORTE DAS BAT 1 R+1","2","","","","","C3-10---",
"209","BANQUE D'ACCUEIL BAT 1 R+1","5","","","","","C3-10---",
"210","PLINTHES BAT 1 R+1","15","","","","","C3-10---",
"213","AMENAGEMENT PLACARDS BAT 1 RDC","2","","","","","C3-10---",
"214","AMENAGEMENT PLACARDS BAT 1 R+2","15","","","","","C3-10---",
"215","BLOC PORTE BAT 1 R+2","2","","","","","C3-10---",
"216","IDEOGRAMME SIGNALETIQUE BAT 1 R+2","1","","","","","C3-10---",
"217","DIVERS ACCESSOIRES BAT 1 R+2","3","","","","","C3-10---",
"218","CLOISONS ALU BAT 1 R+2","30","","","","","C3-10---",
"219","PORTE DAS BAT 1 R+2","3","","","","","C3-10---",
"220","PLINTHES BAT 1 R+2","15","","","","","C3-10---",
"221","STORES VENITIENS BAT 1 R+3","20","","","","","C3-10---",
"222","AMENAGEMENT PLACARDS BAT 1 R+2","15","","","","","C3-10---",
"224","BLOC PORTE BAT 1 R+3","5","","","","","C3-10---",
"225","IDEOGRAMME SIGNALETIQUE BAT 1 R+3","1","","","","","C3-10---",
"226","DIVERS ACCESSOIRES BAT 1 R+3","3","","","","","C3-10---",
"227","CLOISONS BOIS EXOTIQUE BAT 1 R+3","5","","","","","C3-10---",
"229","BLOC PORTE BAT 1 RDC","10","","","","","C3-10---",
"230","CLOISONS MODULAIRES BAT 1 RDC","5","","","","","C3-10---",
"231","BLOC PORTE BAT 2 RDC","2","","","","","C3-10---",
"232","CLOISONS MODULAIRES BAT 2 RDC","10","","","","","C3-10---",
"233","PORTE DAS BAT 2 RDC","4","","","","","C3-10---",
"234","BLOC PORTE BAT 2 RDC","2","","","","","C3-10---",
"235","CLOISONS MODULAIRES BAT 2 RDC","10","","","","","C3-10---",
"236","BLOC PORTE BAT 2 R+1","2","","","","","C3-10---",
"237","CLOISONS MODULAIRES BAT 2 R+1","10","","","","","C3-10---",
"238","PORTE DAS BAT 2 R+1","4","","","","","C3-10---",
"239","Tache numéro 239","1","","","","","C3-10---",
"240","BLOC PORTE BAT 2 R+1","2","","","","","C3-10---",
"241","CLOISONS MODULAIRES BAT 2 R+1","10","","","","","C3-10---",
"242","BLOC PORTE BAT 2 R+2","1","","","","","C3-10---",
"244","PORTE DAS BAT 2 R+2","1","","","","","C3-10---",
"246","BLOC PORTE BAT 2 R+2","1","","","","","C3-10---",
"247","PORTE DAS BAT 2 R+2","1","","","","","C3-10---",
"248","STORES VENITIENS BAT 2 R+2","15","","","","","C3-10---",
"249","BLOC PORTE BAT 2 R+3","4","","","","","C3-10---",
"250","PORTE DAS BAT 2 R+3","1","","","","","C3-10---",
"251","BLOC PORTE BAT 2 R+3","4","","","","","C3-10---",
"252","PORTE DAS BAT 2 R+3","1","","","","","C3-10---",
"253","CLOISONS ALU BAT 1 R+2","30","","","","","C3-10---",
"254","CLOISONS MODULAIRES BAT 2 R+1","4","","","","","C3-10---",
"255","PORTE DAS BAT 3 RDC","5","","","","","C3-10---",
"256","CLOISONS ALU BAT 3 RDC","3","","","","","C3-10---",
"257","CLOISONS MODULAIRES BAT 3 RDC","4","","","","","C3-10---",
"258","SYSTEME FERMETURE DAS BAT 3 RDC","3","","","","","C3-10---",
"259","BLOC PORTE BAT 3 RDC","4","","","","","C3-10---",
"260","PORTE DAS BAT 3 RDC","5","","","","","C3-10---",
"261","DIVERS ACCESSOIRES BAT 3 RDC","30","","","","","C3-10---",
"262","BLOC PORTE BAT 3 R+1","3","","","","","C3-10---",
"263","PORTE DAS BAT 3 R+1","3","","","","","C3-10---",
"264","Tache numéro 264","1","","","","","C3-10---",
"265","IDEOGRAMME SIGNALETIQUE BAT 1 R+1","1","","","","","C3-10---",
"266","BANQUE D'ACCUEIL BAT 1 R+1","5","","","","","C3-10---",
"267","TABLETTE MEDIUM BAT 3 R+2","1","","","","","C3-10---",
"268","IDEOGRAMME SIGNALETIQUE BAT 3 R+2","1","","","","","C3-10---",
"269","BANQUE D'ACCUEIL BAT 3 R+2","5","","","","","C3-10---",
"270","BLOC PORTE BAT 3 R+2","3","","","","","C3-10---",
"272","TABLETTE MEDIUM BAT 3 R+2","1","","","","","C3-10---",
"273","IDEOGRAMME SIGNALETIQUE BAT 3 R+2","1","","","","","C3-10---",
"274","BLOC PORTE BAT 3 R+2","3","","","","","C3-10---",
"275","TABLETTE MEDIUM BAT 3 R+3","1","","","","","C3-10---",
"276","IDEOGRAMME SIGNALETIQUE BAT 3 R+3","1","","","","","C3-10---",
"277","Tache numéro 286","2","","","","","C3-10---",
"278","Tache numéro 287","2","","","","","C3-10---",
"279","Tache numéro 288","4","","","","","C3-10---",
"280","Tache numéro 289","3","","","","","C3-10---",
"290","RACCORDS CLOISONS BAT 1 R+3","5","303FD0 - ","301FD0 - ","","","",
"291","RACCORDS CLOISONS BAT 1 R+2","5","305FD0 - ","302FD0 - ","","","",
"292","RACCORDS CLOISONS BAT 1 R+1","5","306FD0 - ","303FD0 - ","","","",
"293","Tache numéro 309","5","307FD0 - ","","","","",
"294","Tache numéro 315","3","171FD0 - ","304FD0 - 306FD0 - ","","","",
"296","RACCORDS DE CLOISONS BAT 2 RDC","3","173FD0 - ","298FD0 - ","","","",
"297","RACCORDS PLATRE BAT 2 R+1","1","295FD0 - ","","","","",
"298","RACCORDS PLATRE BAT 2 RDC","1","296FD0 - ","","","","",
"299","RACCORDS CLOISONS BRIQUE BAT 1 RDC","5","","","","","",
"300","AUVENT ARCHITECTURAL ACCUEIL","5","","","","","",
"301","RACCORDS PLATRE BAT 1 R+3","3","290FD0 - ","","","","",
"302","RACCORDS PLATRE BAT 1 R+2","3","291FD0 - ","","","","",
"303","RACCORDS DE CLOISONS BAT 2 R+3","3","170FD0 - ","305FD0 - 290FD0 - ","","","",
"304","Tache numéro 303","3","294FD0 - ","","","","",
"305","RACCORDS PLATRE BAT 2 R+3","5","303FD0 - ","306FD0 - 291FD0 - ","","","",
"306","RACCORDS PLATRE BAT 2 R+2","1","305FD0 - 294FD0 - ","307FD0 - 292FD0 - ","","","",
"307","DEMOLITION BAT 2 R+3","1","306FD0 - ","308FD0 - 293FD0 - ","","","",
"308","RACCORD PLATRE BAT 3 RDC","1","307FD0 - ","","","","",
"309","DEMOLITION BAT 2 R+3","7","68FD0 - ","310FD0 - 170FD0 - ","","","",
"310","DEMOLITION BAT 2 R+2 ","7","309FD0 - ","311FD0 - 171FD0 - ","","","",
"311","DEMOLITION BAT 2 R+1","7","310FD0 - ","312FD0 - 172FD0 - ","","","",
"312","DEMOLITION BAT 2 RDC","7","311FD0 - ","313FD0 - 173FD0 - ","","","",
"313","DEMOLITION BAT 2 R-1","5","312FD0 - ","","","","",
"314","REMPLACEMENT DESCENTE EP IMPRIMERIE","1","","","","","C3-05---",
"315","MODIFICATION OUVERTURE INTER. BAT 2 R+3","10","67FD0 - ","","","","",
