"N° ";"Désignation";"Durée";"Pr 1";"Pr 2";"Pr 3";"Pr 4";"Pr 5";"Su 1";"Su 2";"Su 3";"Su 4";"Su 5";
"81";"Fosse d'ascenceur";"4";"80FD0";"";"";"";"";"82FD0";"9999FD0";"";"";"";
"82";"Doublage ventilation mur dur RDJ ";"4";"81FD0";"";"";"";"";"83FD0";"9999FD0";"";"";"";
"83";"Rampe handicapé, instructure verrière";"4";"82FD0";"84FD0";"";"";"";"9999FD0";"";"";"";"";
"84";"Restauration des biefs";"6";"80FD0";"";"";"";"";"83FD0";"9999FD0";"";"";"";
"85";"Modification - refection seuils - travaux divers";"5";"80FD0";"";"";"";"";"9999FD0";"";"";"";"";
"86";"Flocage ";"1";"73FD0";"74FD0";"75FD0";"";"";"9999FD0";"";"";"";"";
"87";"Modification et restauration charpente";"4";"6FD0";"";"";"";"";"88FD0";"9999FD0";"";"";"";
"88";"Reprise de couverture sur rue";"12";"6FD0";"87FD0";"";"";"";"90FD0";"9999FD0";"";"";"";
"89";"Faux plafond  R+2";"2";"176FD0";"";"";"";"";"114FD0";"161FD0";"118FD0";"9999FD0";"";
"90";"Chassis de désenfumage";"1";"88FD0";"";"";"";"";"9999FD0";"";"";"";"";
"91";"Ravalement sur rue";"15";"172FD0";"92FD0";"";"";"";"9999FD0";"";"";"";"";
"92";"Ravalement sur cour
";"20";"173FD0";"";"";"";"";"91FD0";"102FD0";"9999FD0";"";"";
"93";"Ravalement du pignon sur extension
";"5";"175FD0";"";"";"";"";"102FD0";"9999FD0";"";"";"";
"94";"Ravalement sur pignon existant ";"5";"174FD0";"";"";"";"";"9999FD0";"";"";"";"";
"95";"Ascenseur fabrication 
Ascenseur fabrication 
";"90";"4DD90";"";"";"";"";"96FD0";"9999FD0";"";"";"";
"96";"Ascenseur pose
";"20";"95FD0";"";"";"";"";"9999FD0";"";"";"";"";
"97";"Serurerie fabrication escalier
";"40";"4DD133";"";"";"";"";"98FD0";"9999FD0";"";"";"";
"98";"Serrurerie pose escalier
";"10";"97FD0";"";"";"";"";"9999FD0";"";"";"";"";
"99";"Extension Menuiserie alu rue
";"2";"2FD0";"";"";"";"";"100FD0";"33FD0";"9999FD0";"";"";
"100";"Extension Menuiserie alu pignons
";"2";"99FD0";"";"";"";"";"101FD0";"33FD0";"9999FD0";"";"";
"101";"Extension Menuiserie alu cour
";"8";"100FD0";"";"";"";"";"33FD0";"9999FD0";"";"";"";
"102";"Réseau EP
";"3";"92FD0";"93FD0";"";"";"";"103FD0";"9999FD0";"";"";"";
"103";"Réseau EU
";"2";"102FD0";"";"";"";"";"104FD0";"9999FD0";"";"";"";
"104";"Reprise de voirie";"2";"103FD0";"";"";"";"";"105FD0";"9999FD0";"";"";"";
"105";"Bordure espace vert
";"7";"104FD0";"";"";"";"";"106FD0";"9999FD0";"";"";"";
"106";"Reprise trottoires";"3";"105FD0";"";"";"";"";"107FD0";"9999FD0";"";"";"";
"107";"Finition nettoyage
";"2";"106FD0";"";"";"";"";"108FD0";"9999FD0";"";"";"";
"108";"Serrurerie barrieres sur rue
";"2";"107FD0";"";"";"";"";"9999FD0";"";"";"";"";
"109";"Cloison doublage RDJ";"8";"";"";"";"";"";"119FD0";"126FD0";"143FD0";"9999FD0";"";
"110";"Cloison doublage RDC";"5";"";"";"";"";"";"136FD0";"120FD0";"126FD0";"134FD0";"145FD0";
"111";"Cloison doublage R+1";"5";"176FD0";"";"";"";"";"117FD0";"114FD0";"122FD0";"126FD0";"147FD0";
"112";"Faux plafond RDJ";"2";"113FD0";"";"";"";"";"177FD0";"131FD0";"9999FD0";"";"";
"113";"Faux plafond RDC";"2";"114FD0";"";"";"";"";"112FD0";"162FD0";"129FD0";"9999FD0";"";
"114";"Faux plafond R+1";"2";"89FD0";"111FD0";"";"";"";"113FD0";"124FD0";"127FD0";"9999FD0";"";
"115";"Menuiserie bois RDJ";"8";"136FD0";"";"";"";"";"9999FD0";"";"";"";"";
"116";"Menuiserie bois R+2";"8";"176FD0";"117FD0";"";"";"";"9999FD0";"";"";"";"";
"117";"Menuiserie bois R+1";"8";"111FD0";"";"";"";"";"116FD0";"9999FD0";"";"";"";
"118";"Chauffage - Nappe plafond - colonnes montantes R+2";"1";"89FD0";"";"";"";"";"125FD0";"142FD0";"9999FD0";"";"";
"119";"Elec - Câblage RDJ";"5";"109FD0";"";"";"";"";"160FD0";"9999FD0";"";"";"";
"120";"Elec - Câblage RDC";"5";"110FD0";"";"";"";"";"121FD0";"9999FD0";"";"";"";
"121";"Elec - Appareillage RDC";"5";"120FD0";"";"";"";"";"9999FD0";"";"";"";"";
"122";"Elec - Câblage R+1";"5";"111FD0";"";"";"";"";"123FD0";"9999FD0";"";"";"";
"123";" Elec - Appareillage  R+1";"5";"122FD0";"";"";"";"";"9999FD0";"";"";"";"";
"124";"VMC Nappe plafond R+1";"3";"114FD0";"";"";"";"";"9999FD0";"";"";"";"";
